Name of Clinic	Address	Long	Lat
Saint Yen Clinic	"Shop No. 71, G/F, Manor Centre, 213 Un Chau Street, Kowloon"	114.16016	22.33443
SARDA Wanchai Clinic	"15/F, Southorn Centre, 130 Hennessy Road, Wan Chai, Hong Kong"	114.17276	22.27737
Sik Sik Yuen Clinic	"General Clinic, C, G/F, Sik Sik Yuen Social Services Complex, 38 Fung Tak Road, Wong Tai Sin, Kowloon"	114.19737	22.3432
The Family Planning Association of Hong Kong - Kwai Fong Youth Health Care Centre	"Unit 702-705, Level 7, Metroplaza Tower 2, 223 Hing Fong Road, Kwai Fong, New Territories"	114.12613	22.35769
The Family Planning Association of Hong Kong – Ma Tau Chung Clinic	"105 Ma Tau Chung Road, Kowloon"	114.18841	22.32419
The Family Planning Association of Hong Kong – Tsuen Wan Clinic	"Room 1621-1622, 16/F, Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, New Territories"	114.11587	22.37376
The Family Planning Association of Hong Kong – Wan Chai Clinic	"G/F, 8/F & 9/F (Sexual & Reproductive Health Centre), Southorn Centre, 130 Hennessy Road, Wan Chai, Hong Kong"	114.17276	22.27737
The Family Planning Association of Hong Kong – Wong Tai Sin Clinic	"G/F, 1-2 Lung On House, Lower Wong Tai Sin Estate (II), Kowloon"	114.20111	22.34202
The Family Planning Association of Hong Kong – Youth Health Care Centre – Mongkok Centre	"Room A, 13/F, Full Win Commercial Centre, 573 Nathan Road, Kowloon"	114.17008	22.31499
The Family Planning Association of Hong Kong – Yuen Long Clinic	"149-153 On Ning Road, Yuen Long, New Territories"	114.02843	22.44607
The Hong Kong and China Gas Company Limited Clinic	"11/F, 363 Java Road, North Point, Hong Kong"	114.20297	22.2929
The Islamic Union Medical Clinic	"7/F, 40 Oi Kwan Road, Wan Chai, Hong Kong"	114.1788	22.27729
"The Lok Sin Tong Chan Cho Chak Polyclinics, Mongkok"	"Western Clinic, Flat A & B, 3/F, 688 Shanghai Street, Kowloon"	121.4737015	31.23036957
UCN – Bradbury Kwong Tin Community Health Centre	"Area A, Unit 203, Kwong Tin Shopping Centre, Kwong Tin Estate, Lam Tin, Kowloon"	114.23956	22.30279
UCN – Jockey Club Tin Shui Wai Community Health Centre	"Area A, Unit 103, 1/F, Tin Ching Amenity and Community Building, Tin Ching Estate, Tin Shui Wai, New Territories"	114.0020218	22.45833969
UCN – Jockey Club Wo Lok Community Health Centre	"Area A, Unit 24, 26-33 & 35, G/F & LG/F, Kui On House, Wo Lok Estate, Hip Wo Street, Kwun Tong, Kowloon"	114.22676	22.31742
UCN – Kwong Fuk Community Health Centre	"Unit A, Unit 19, G/F, Kwong Yan House, Kwong Fuk Estate, Tai Po, New Territories"	114.17398	22.44729
UCN Cheerful Health Centre	"Area A, 1/F, Cheerful Court, 55 Choi Ha Road, Jordan Valley, Kowloon"	114.21668	22.32559
UCN Jordan Health Centre	"13/F, Sino Cheer Plaza, 23 Jordan Road, Kowloon"	36.7881012	31.24819183
"University Health Service, The Hong Kong Polytechnic University"	"University Health Service, The Hong Kong Polytechnic University, G/F and 1/F (A125h, A125i, A125j), 1 Yuk Choi Road, Hung Hom, Kowloon"	114.192009	22.30459976
			
Chung Sing Benevolent Society Clinic	"Flat C, 1/F, 379 Lockhart Road, Wan Chai, Hong Kong"	114.18355	22.28061
"Clinic of the Association of the Natives of Tung Koon, Shatin"	"1/F, 6 Portland Street, Kowloon"	114.17035	22.31202
Hong Kong & Kowloon Inhabitants' Main Association Clinic	"Room 6A, 6/F, Toi Shan Centre, 128 Johnston Road, Wan Chai, Hong Kong"	114.17344	22.27661
Hong Kong Baptist Mission Clinic	"1/F, 32A Belcher's Street, Kennedy Town, Hong Kong"	114.1301	22.28312
Hong Kong Baptist Mission Clinic	"Room 303, 1/F, Kam Yuck Building, Wai Chi Lane, Shek Kip Mei, Kowloon"	114.16712	22.33456
Hong Kong Baptist Mission Clinic	"G/F, 36 Yin Hing Street, San Po Kong, Kowloon"	114.19482	22.3358199
Hong Kong Baptist Mission Clinic	"1/F, 100 Chung On Street, Tsuen Wan, New Territories"	114.11677	22.36946
Kam Tin Clinic	"1/F, 89 Tai Hong Wai, Kam Tin Main Road, Kam Tin, New Territories"	114.06572	22.4408299
Kin Hong Medical Clinic	"Shop E, G/F, Man On Building, 2-6 Man On Street, Tai Kok Tsui, Kowloon"	114.1615	22.32332
Kwai Chung Clinic	"Shop I1 & I2, G/F, Tak Tai Building, 19B Tai Ha Street, Tai Wo Hau, New Territories"	114.1238	22.36807
Kwok's Clansmen Association Living Water Clinic	"G/F, 16 Waterloo Road, Yau Ma Tei, Kowloon"	114.16978	22.3127299
On On Clinic	"G/F, 30 Shung Wah Street, Fung Wong Village, Kowloon"	114.19826	22.3463299
Po Chai Church Clinic	"G/F, 75 First Street, Sai Ying Pun, Hong Kong"	114.1405	22.28657
Shing Yan Clinic	"Room 204, 2/F, Chung Wo Commercial Centre, 42-46 Shanghai Street, Kowloon"	121.4737015	31.23036957
Tai Po Clinic	"M/F, 99 Kwong Fuk Road, Tai Po Market, New Territories"	114.1677	22.44844
Wong Tai Sin Estate Kaifong Welfare Association Clinic	"No. 4, G/F, Lung Lok House, Wong Tai Sin Lower Estate, Wong Tai Sin, Kowloon"	114.1958389	22.34003067
Wood Man Church Clinic	"Flat B, 1/F, Hong Ning Mansion, 56-58 Nga Tsin Wai Road, Kowloon"	114.19068	22.32896
Yee On Clinic	"Flat J, 2/F, Yen Dack Building, 103 - 113 Chun Yeung Street, North Point, Hong Kong"	114.19842	22.29157
